Receiving-data-rate-in-Kbytes-per-seconds, Transmitting-data-rate-in-Kbytes-per-seconds, Total-received-Kbytes, Total-Transmitted-Kbytes, Total-received-packets, Total-Transmitted-packets, Class
0.0,0.0,132.20,46.55,211,211,Varied
0.0,0.0,132.20,46.55,211,211,Varied
0.0,0.0,132.20,46.55,211,211,Varied
6.27,3.15,146.83,52.75,239,238,Varied
0.0,0.0,146.83,52.75,239,238,Varied
0.0,0.0,146.83,52.75,239,238,Varied
0.0,0.0,146.83,52.75,239,238,Varied
0.0,0.0,146.83,52.75,239,238,Varied
0.0,0.0,146.83,52.75,239,238,Varied
4.52,1.55,161.41,59.80,266,265,Varied
0.0,0.0,161.41,59.80,266,265,Varied
0.0,0.0,161.41,59.80,266,265,Varied
0.0,0.0,161.41,59.80,266,265,Varied
0.0,0.0,161.41,59.80,266,265,Varied
4.45,1.57,176.04,66.22,293,292,Varied
0.0,0.0,176.04,66.22,293,292,Varied
0.0,0.0,176.04,66.22,293,292,Varied
0.0,0.0,176.04,66.22,293,292,Varied
0.0,0.0,176.04,66.22,293,292,Varied
0.0,0.0,176.04,66.22,293,292,Varied
0.0,0.0,176.04,66.22,293,292,Varied
0.0,0.0,176.04,66.22,293,292,Varied
0.0,0.0,176.04,66.22,293,292,Varied
0.0,0.0,176.04,66.22,293,292,Varied
5.42,1.64,190.58,72.72,320,319,Varied
0.0,0.0,190.58,72.72,320,319,Varied
0.0,0.0,190.58,72.72,320,319,Varied
0.0,0.0,190.58,72.72,320,319,Varied
0.0,0.0,190.58,72.72,320,319,Varied
4.60,1.52,204.98,79.02,348,347,Varied
0.0,0.0,204.98,79.02,348,347,Varied
0.0,0.0,204.98,79.02,348,347,Varied
0.0,0.0,204.98,79.02,348,347,Varied
0.0,0.0,204.98,79.02,348,347,Varied
0.0,0.0,204.98,79.02,348,347,Varied
0.0,0.0,204.98,79.02,348,347,Varied
6.18,3.11,219.61,86.02,377,376,Varied
0.0,0.0,219.61,86.02,377,376,Varied
0.0,0.0,219.61,86.02,377,376,Varied
0.0,0.0,219.61,86.02,377,376,Varied
0.0,0.0,219.61,86.02,377,376,Varied
3.44,2.46,234.61,92.44,404,404,Varied
0.0,0.0,234.61,92.44,404,404,Varied
0.0,0.0,234.61,92.44,404,404,Varied
0.0,0.0,234.61,92.44,404,404,Varied
0.0,0.0,234.61,92.44,404,404,Varied
0.0,0.0,234.61,92.44,404,404,Varied
0.0,0.0,234.61,92.44,404,404,Varied
0.0,0.0,234.61,92.44,404,404,Varied
4.36,1.53,249.41,99.04,431,430,Varied
0.0,0.0,249.41,99.04,431,430,Varied
0.0,0.0,249.41,99.04,431,430,Varied
0.0,0.0,249.41,99.04,431,430,Varied
0.0,0.0,249.41,99.04,431,430,Varied
0.0,0.0,249.41,99.04,431,430,Varied
3.41,2.74,264.04,105.46,458,457,Varied
0.0,0.0,264.04,105.46,458,457,Varied
0.0,0.0,264.04,105.46,458,457,Varied
0.0,0.0,264.04,105.46,458,457,Varied
0.0,0.0,264.04,105.46,458,457,Varied
0.0,0.0,264.04,105.46,458,457,Varied
0.0,0.0,264.04,105.46,458,457,Varied
4.44,1.24,278.54,111.96,486,485,Varied
0.0,0.0,278.54,111.96,486,485,Varied
0.0,0.0,278.54,111.96,486,485,Varied
0.0,0.0,278.54,111.96,486,485,Varied
0.0,0.0,278.54,111.96,486,485,Varied
0.0,0.0,278.54,111.96,486,485,Varied
0.0,0.0,278.54,111.96,486,485,Varied
0.0,0.0,278.54,111.96,486,485,Varied
0.0,0.0,278.54,111.96,486,485,Varied
0.0,0.0,278.54,111.96,486,485,Varied
4.64,1.55,293.09,118.56,513,512,Varied
0.0,0.0,293.09,118.56,513,512,Varied
0.0,0.0,293.09,118.56,513,512,Varied
0.0,0.0,293.09,118.56,513,512,Varied
0.0,0.0,293.09,118.56,513,512,Varied
0.0,0.0,293.09,118.56,513,512,Varied
3.36,2.10,307.69,124.96,540,539,Varied
0.0,0.0,307.69,124.96,540,539,Varied
0.0,0.0,307.69,124.96,540,539,Varied
0.0,0.0,307.69,124.96,540,539,Varied
0.0,0.0,307.69,124.96,540,539,Varied
5.36,1.96,322.69,131.84,569,568,Varied
0.0,0.0,322.69,131.84,569,568,Varied
0.0,0.0,322.69,131.84,569,568,Varied
0.0,0.0,322.69,131.84,569,568,Varied
0.0,0.0,322.69,131.84,569,568,Varied
0.0,0.0,322.69,131.84,569,568,Varied
4.84,160,337.32,138.26,597,596,Varied
0.0,0.0,337.32,138.26,597,596,Varied
0.0,0.0,337.32,138.26,597,596,Varied
0.0,0.0,337.32,138.26,597,596,Varied
0.0,0.0,337.32,138.26,597,596,Varied
0.0,0.0,337.32,138.26,597,596,Varied
0.0,0.0,337.32,138.26,597,596,Varied
0.0,0.0,337.32,138.26,597,596,Varied
0.0,0.0,337.32,138.26,597,596,Varied
0.0,0.0,337.32,138.26,597,596,Varied
4.51,1.71,7.07,5.09,22,22,Varied
0.0,0.0,7.07,5.09,22,22,Varied
0.0,0.0,7.07,5.09,22,22,Varied
4.54,1.66,15.29,6.86,32,29,Varied
0.0,0.0,15.29,6.86,32,29,Varied
0.0,0.0,15.29,6.86,32,29,Varied
0.0,0.0,15.29,6.86,32,29,Varied
0.0,0.0,15.29,6.86,32,29,Varied
0.0,0.0,15.29,6.86,32,29,Varied
4.52,1.71,19.84,8.68,38,37,Varied
0.0,0.0,19.84,8.68,38,37,Varied
0.0,0.0,19.84,8.68,38,37,Varied
0.0,0.0,19.84,8.68,38,37,Varied
9.66,14.58,29.60,23.60,56,61,Varied
0.0,0.0,29.60,23.60,56,61,Varied
0.0,0.0,29.60,23.60,56,61,Varied
0.0,0.0,29.60,23.60,56,61,Varied
39.41,5.39,79.81,31.05,109,110,Varied
0.0,0.0,79.81,31.05,109,110,Varied
0.0,0.0,79.81,31.05,109,110,Varied
0.0,0.0,79.81,31.05,109,110,Varied
0.0,0.0,79.81,31.05,109,110,Varied
0.0,0.0,79.81,31.05,109,110,Varied
0.0,0.0,79.81,31.05,109,110,Varied
0.0,0.0,79.81,31.05,109,110,Varied
0.0,0.0,79.81,31.05,109,110,Varied
0.0,0.0,79.81,31.05,109,110,Varied
3.19,0.11,83.00,31.16,113,112,Varied
0.0,0.0,83.00,31.16,113,112,Varied
0.0,0.0,83.00,31.16,113,112,Varied
0.0,0.0,83.00,31.16,113,112,Varied
0.0,0.0,83.00,31.16,113,112,Varied
0.0,0.0,83.00,31.16,113,112,Varied
4.63,2.18,87.64,33.35,120,122,Varied
0.0,0.0,87.64,33.35,120,122,Varied
0.0,0.0,87.64,33.35,120,122,Varied
0.0,0.0,87.64,33.35,120,122,Varied
0.0,0.0,87.64,33.35,120,122,Varied
0.0,0.0,87.64,33.35,120,122,Varied
0.0,0.0,87.64,33.35,120,122,Varied
0.0,0.0,87.64,33.35,120,122,Varied
5.14,7.78,98.20,44.36,141,146,Varied
0.0,0.0,98.20,44.36,141,146,Varied
0.0,0.0,98.20,44.36,141,146,Varied
0.0,0.0,98.20,44.36,141,146,Varied
0.0,0.0,98.20,44.36,141,146,Varied
2.08,2.01,100.70,46.48,148,155,Varied
0.0,0.0,100.70,46.48,148,155,Varied
0.0,0.0,100.70,46.48,148,155,Varied
0.0,0.0,100.70,46.48,148,155,Varied
0.0,0.0,100.70,46.48,148,155,Varied
0.0,0.0,100.70,46.48,148,155,Varied
0.0,0.0,100.70,46.48,148,155,Varied
0.0,0.0,100.70,46.48,148,155,Varied
4.54,1.68,109.02,48.21,157,161,Varied
0.0,0.0,109.02,48.21,157,161,Varied
0.0,0.0,109.02,48.21,157,161,Varied
0.0,0.0,109.02,48.21,157,161,Varied
0.0,0.0,109.02,48.21,157,161,Varied
0.0,0.0,109.02,48.21,157,161,Varied
1.39,0.88,110.42,49.09,161,167,Varied
0.0,0.0,110.42,49.09,161,167,Varied
0.0,0.0,110.42,49.09,161,167,Varied
0.0,0.0,110.42,49.09,161,167,Varied
0.0,0.0,110.42,49.09,161,167,Varied
9.01,7.47,119.88,58.56,176,190,Varied
0.0,0.0,119.88,58.56,176,190,Varied
0.0,0.0,119.88,58.56,176,190,Varied
0.0,0.0,119.88,58.56,176,190,Varied
0.0,0.0,119.88,58.56,176,190,Varied
0.0,0.0,119.88,58.56,176,190,Varied
0.0,0.0,119.88,58.56,176,190,Varied
0.0,0.0,119.88,58.56,176,190,Varied
0.0,0.0,119.88,58.56,176,190,Varied
0.0,0.0,119.88,58.56,176,190,Varied
0.59,2.98,122.11,64.19,199,213,Varied
0.0,0.0,122.11,64.19,199,213,Varied
0.0,0.0,122.11,64.19,199,213,Varied
0.0,0.0,122.11,64.19,199,213,Varied
0.0,0.0,122.11,64.19,199,213,Varied
5.81,0.44,127.92,64.63,207,217,Varied
0.0,0.0,127.92,64.63,207,217,Varied
0.0,0.0,127.92,64.63,207,217,Varied
0.0,0.0,127.92,64.63,207,217,Varied
0.0,0.0,127.92,64.63,207,217,Varied
0.0,0.0,127.92,64.63,207,217,Varied
0.0,0.0,127.92,64.63,207,217,Varied
4.57,1.77,134.82,69.77,226,240,Varied
0.0,0.0,134.82,69.77,226,240,Varied
0.0,0.0,134.82,69.77,226,240,Varied
0.0,0.0,134.82,69.77,226,240,Varied
0.0,0.0,134.82,69.77,226,240,Varied
3.57,0.20,138.39,69.97,229,244,Varied
0.0,0.0,138.39,69.97,229,244,Varied
0.0,0.0,138.39,69.97,229,244,Varied
0.0,0.0,138.39,69.97,229,244,Varied
0.0,0.0,138.39,69.97,229,244,Varied
0.0,0.0,138.39,69.97,229,244,Varied
0.0,0.0,138.39,69.97,229,244,Varied
0.0,0.0,138.39,69.97,229,244,Varied
3.24,2.93,142.97,73.20,236,252,Varied
0.0,0.0,142.97,73.20,236,252,Varied
0.0,0.0,142.97,73.20,236,252,Varied
0.0,0.0,142.97,73.20,236,252,Varied
0.0,0.0,142.97,73.20,236,252,Varied
0.0,0.0,142.97,73.20,236,252,Varied
4.02,5.77,156.91,82.56,256,276,Varied
0.0,0.0,156.91,82.56,256,276,Varied
0.0,0.0,156.91,82.56,256,276,Varied
0.0,0.0,156.91,82.56,256,276,Varied
0.0,0.0,156.91,82.56,256,276,Varied
0.0,0.0,156.91,82.56,256,276,Varied
0.0,0.0,156.91,82.56,256,276,Varied
41.62,5.10,212.33,88.60,311,325,Varied
0.0,0.0,212.33,88.60,311,325,Varied
0.0,0.0,212.33,88.60,311,325,Varied
0.0,0.0,212.33,88.60,311,325,Varied
0.0,0.0,212.33,88.60,311,325,Varied
0.0,0.0,212.33,88.60,311,325,Varied
0.0,0.0,212.33,88.60,311,325,Varied
0.0,0.0,212.33,88.60,311,325,Varied
0.0,0.0,212.33,88.60,311,325,Varied
0.0,0.0,212.33,88.60,311,325,Varied
4.59,1.71,217.20,91.94,320,335,Varied
0.0,0.0,217.20,91.94,320,335,Varied
0.0,0.0,217.20,91.94,320,335,Varied
0.0,0.0,217.20,91.94,320,335,Varied
0.0,0.0,217.20,91.94,320,335,Varied
0.0,0.0,217.20,91.94,320,335,Varied
0.54,6.29,222.45,98.83,331,351,Varied
0.0,0.0,222.45,98.83,331,351,Varied
0.0,0.0,222.45,98.83,331,351,Varied
0.0,0.0,222.45,98.83,331,351,Varied
0.0,0.0,222.45,98.83,331,351,Varied
0.74,2.69,223.20,101.52,335,356,Varied
0.0,0.0,223.20,101.52,335,356,Varied
0.0,0.0,223.20,101.52,335,356,Varied
0.0,0.0,223.20,101.52,335,356,Varied
0.0,0.0,223.20,101.52,335,356,Varied
0.0,0.0,223.20,101.52,335,356,Varied
4.58,1.70,227.78,103.22,342,361,Varied
0.0,0.0,227.78,103.22,342,361,Varied
0.0,0.0,227.78,103.22,342,361,Varied
0.0,0.0,227.78,103.22,342,361,Varied
0.0,0.0,227.78,103.22,342,361,Varied
0.0,0.0,227.78,103.22,342,361,Varied
0.0,0.0,227.78,103.22,342,361,Varied
0.0,0.0,227.78,103.22,342,361,Varied
0.0,0.0,227.78,103.22,342,361,Varied
0.0,0.0,227.78,103.22,342,361,Varied
1.84,0.52,100.25,24.10,138,134,Low
2.85,1.35,5030,172.34,3700,2110,Low
1.11,0.96,5040,174.65,3710,2130,Low
4.38,1.77,5052,176.42,3731,2150,Low
0.0,0.0,5052,176.42,3731,2150,Low
4.14,1.01,5100,183.97,3780,2210,Low
0.0,0.0,5100,183.97,3780,2210,Low
0.0,0.0,5100,183.97,3780,2210,Low
4.82,3.98,5130,194.89,3810,2260,Low
0.0,0.0,5130,194.89,3810,2260,Low
0.0,0.0,5130,194.89,3810,2260,Low
0.0,0.0,5130,194.89,3810,2260,Low
0.0,0.0,5130,194.89,3810,2260,Low
0.0,0.0,5130,194.89,3810,2260,Low
0.0,0.0,5130,194.89,3810,2260,Low
4.03,2.10,5140,198.31,3830,2270,Low
1.05,0.81,5141,199.13,3840,2280,Low
0.0,0.0,5141,199.13,3840,2280,Low
0.0,0.0,5141,199.13,3840,2280,Low
0.0,0.0,5141,199.13,3840,2280,Low
0.0,0.0,5141,199.13,3840,2280,Low
0.0,0.0,5141,199.13,3840,2280,Low
0.0,0.0,5141,199.13,3840,2280,Low
0.0,0.0,5141,199.13,3840,2280,Low
0.0,0.0,5141,199.13,3840,2280,Low
2.08,0.89,5142,200.83,3850,2290,Low
0.36,0.25,51.43,203.54,3860,2310,Low
0.0,0.0,5143,203.54,3860,2310,Low
0.0,0.0,5143,203.54,3860,2310,Low
0.0,0.0,5143,203.54,3860,2310,Low
0.0,0.0,5143,203.54,3860,2310,Low
0.0,0.0,5143,203.54,3860,2310,Low
0.44,0.20,5144,203.74,3865,2315,Low
0.0,0.0,5144,203.74,3865,2315,Low
0.0,0.0,5144,203.74,3865,2315,Low
0.0,0.0,5144,203.74,3865,2315,Low
0.0,0.0,5144,203.74,3865,2315,Low
0.0,0.0,5144,203.74,3865,2315,Low
0.0,0.0,5144,203.74,3865,2315,Low
0.0,0.0,5144,203.74,3865,2315,Low
0.0,0.0,5144,203.74,3865,2315,Low
5.54,2.09,5150,217.61,3930,2380,Low
5.54,2.09,5170,228.65,3990,2440,Low
0.44,0.20,5171,232.06,4010,2460,Low
0.0,0.0,5171,232.06,4010,2460,Low
0.0,0.0,5171,232.06,4010,2460,Low
0.0,0.0,5171,232.06,4010,2460,Low
0.0,0.0,5171,232.06,4010,2460,Low
0.0,0.0,5171,232.06,4010,2460,Low
0.0,0.0,5171,232.06,4010,2460,Low
0.0,0.0,5171,232.06,4010,2460,Low
0.0,0.0,5171,232.06,4010,2460,Low
0.0,0.0,5171,232.06,4010,2460,Low
0.0,0.0,5171,232.06,4010,2460,Low
0.0,0.0,5171,232.06,4010,2460,Low
0.0,0.0,5171,232.06,4010,2460,Low
0.0,0.0,5171,232.06,4010,2460,Low
0.0,0.0,5171,232.06,4010,2460,Low
0.0,0.0,5171,232.06,4010,2460,Low
0.0,0.0,5171,232.06,4010,2460,Low
0.0,0.0,5171,232.06,4010,2460,Low
120.12,11.59,5460,259.55,4280,2750,Low
2.15,1.37,5490,268.88,4340,2810,Low
0.0,0.0,5490,268.88,4340,2810,Low
2.61,1.85,5491,272.38,4350,2830,Low
0.0,0.0,5491,272.38,4350,2830,Low
0.0,0.0,5491,272.38,4350,2830,Low
0.0,0.0,5491,272.38,4350,2830,Low
0.0,0.0,5491,272.38,4350,2830,Low
0.0,0.0,5491,272.38,4350,2830,Low
0.0,0.0,5491,272.38,4350,2830,Low
0.0,0.0,5491,272.38,4350,2830,Low
0.0,0.0,5491,272.38,4350,2830,Low
0.0,0.0,5491,272.38,4350,2830,Low
0.0,0.0,5491,272.38,4350,2830,Low
0.0,0.0,5491,272.38,4350,2830,Low
0.0,0.0,5491,272.38,4350,2830,Low
1.34,1.34,5500,276.47,4370,2860,Low
1.00,1.32,5510,283.68,4410,2900,Low
0.74,1.33,5511,287.04,4420,2920,Low
3.30,0.98,5520,290.34,4430,2922,Low
0.0,0.0,5520,290.34,4430,2922,Low
0.0,0.0,5520,290.34,4430,2922,Low
0.0,0.0,5520,290.34,4430,2922,Low
0.0,0.0,5520,290.34,4430,2922,Low
0.0,0.0,5520,290.34,4430,2922,Low
0.0,0.0,5520,290.34,4430,2922,Low
0.0,0.0,5520,290.34,4430,2922,Low
0.0,0.0,5520,290.34,4430,2922,Low
0.0,0.0,5520,290.34,4430,2922,Low
0.0,0.0,5520,290.34,4430,2922,Low
0.0,0.0,5520,290.34,4430,2922,Low
0.0,0.0,5520,290.34,4430,2922,Low
0.0,0.0,5520,290.34,4430,2922,Low
4.98,3.72,5540,309.42,4520,3010,Low
7.51,1.15,6010,320.54,4890,3110,Low
0.0,0.0,6010,320.54,4890,3110,Low
0.0,0.0,6010,320.54,4890,3110,Low
0.0,0.0,6010,320.54,4890,3110,Low
0.0,0.0,6010,320.54,4890,3110,Low
0.0,0.0,6010,320.54,4890,3110,Low
0.0,0.0,6010,320.54,4890,3110,Low
0.0,0.0,6010,320.54,4890,3110,Low
0.0,0.0,6010,320.54,4890,3110,Low
0.0,0.0,6010,320.54,4890,3110,Low
0.0,0.0,6010,320.54,4890,3110,Low
0.0,0.0,6010,320.54,4890,3110,Low
0.0,0.0,6010,320.54,4890,3110,Low
0.0,0.0,6010,320.54,4890,3110,Low
0.0,0.0,6010,320.54,4890,3110,Low
2.36,1.20,6020,328.51,4940,3150,Low
1.04,0.70,6030,338.99,4990,3200,Low
1.02,0.64,6031,346.71,5010,3210,Low
0.0,0.0,6031,346.71,5010,3210,Low
1.02,0.28,6032,346.99,5016,3212,Low
0.0,0.0,6032,346.99,5016,3212,Low
0.0,0.0,6032,346.99,5016,3212,Low
0.0,0.0,6032,346.99,5016,3212,Low
0.0,0.0,6032,346.99,5016,3212,Low
0.0,0.0,6032,346.99,5016,3212,Low
0.0,0.0,6032,346.99,5016,3212,Low
0.25,0.21,6033,247.21,5020,3220,Low
0.0,0.0,6033,347.21,5020,3220,Low
0.0,0.0,6033,347.21,5020,3220,Low
0.0,0.0,6033,347.21,5020,3220,Low
0.0,0.0,6033,347.21,5020,3220,Low
0.0,0.0,6033,347.21,5020,3220,Low
0.0,0.0,6033,347.21,5020,3220,Low
0.0,0.0,6033,347.21,5020,3220,Low
0.0,0.0,6033,347.21,5020,3220,Low
7.61,4.61,6040,351.63,5040,3240,Low
363.75,15.92,6560,383.60,5490,3570,Low
2.99,1.47,6570,386.83,5510,3580,Low
0.0,0.0,6570,386.83,5510,3580,Low
0.0,0.0,6570,386.83,5510,3580,Low
0.81,0.15,6571,386.99,5511,3590,Low
0.0,0.0,6571,386.99,5511,3590,Low
0.0,0.0,6571,386.99,5511,3590,Low
0.0,0.0,6571,386.99,5511,3590,Low
0.0,0.0,6571,386.99,5511,3590,Low
0.0,0.0,6571,386.99,5511,3590,Low
0.0,0.0,6571,386.99,5511,3590,Low
0.0,0.0,6571,386.99,5511,3590,Low
0.0,0.0,6571,386.99,5511,3590,Low
0.0,0.0,6571,386.99,5511,3590,Low
0.0,0.0,6571,386.99,5511,3590,Low
0.0,0.0,6571,386.99,5511,3590,Low
0.0,0.0,6571,386.99,5511,3590,Low
0.0,0.0,6571,386.99,5511,3590,Low
0.0,0.0,6571,386.99,5511,3590,Low
11.97,3.80,567.50,15.64,406,262,Low
4.15,2.41,4120,152.60,2940,2160,Low
0.0,0.0,4120,152.60,2940,2160,Low
0.38,0.29,4121,152.89,2950,2170,Low
0.0,0.0,4121,152.89,2950,2170,Low
0.0,0.0,4121,152.89,2950,2170,Low
0.0,0.0,4121,152.89,2950,2170,Low
0.0,0.0,4121,152.89,2950,2170,Low
0.0,0.0,4121,152.89,2950,2170,Low
0.0,0.0,4121,152.89,2950,2170,Low
0.0,0.0,4121,152.89,2950,2170,Low
0.0,0.0,4121,152.89,2950,2170,Low
0.0,0.0,4121,152.89,2950,2170,Low
0.0,0.0,4121,152.89,2950,2170,Low
2.45,1.95,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
0.0,0.0,4122,155.88,2960,2180,Low
2.77,1.43,4126,158.04,2970,2200,Low
0.0,0.0,4126,158.04,2970,2200,Low
2.64,2.63,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
0.0,0.0,4130,160.90,2975,2210,Low
258.16,6.08,4520,192.09,3320,2560,Low
12.16,6.08,4530,198.18,3340,2580,Low
4.05,3.21,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
0.0,0.0,4535,201.40,3350,2600,Low
7.40,3.46,4600,212.06,3440,2720,Low
6.57,3.27,8570,307.23,6320,4050,Low
1.21,1.20,8580,319.37,6380,4130,Low
0.36,0.40,8581,319.79,6385,4140,Low
0.0,0.0,8581,319.79,6385,4140,Low
0.0,0.0,8581,319.79,6385,4140,Low
0.0,0.0,8581,319.79,6385,4140,Low
0.0,0.0,8581,319.79,6385,4140,Low
0.31,0.53,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
0.0,0.0,8582,320.32,6390,4150,Low
6.93,3.46,10920,369.05,8130,4770,Low
3.23,1.74,10930,389.95,8220,4900,Low
6.05,1.69,10940,394.05,8240,4930,Low
0.84,0.80,10941,395.72,8250,4940,Low
0.0,0.0,10941,395.72,8250,4940,Low
1.17,1.01,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
0.0,0.0,10944,402.59,8270,4970,Low
12.75,0.10,195.04,1.52,150,30,Buffer
24.77,0.20,337.26,3.30,259,65,Buffer
24.45,0.20,516.14,5.38,397,106,Buffer
13.16,0.10,670.98,7.26,516,143,Buffer
25.91,0.15,942.63,16.26,738,284,Buffer
24.91,0.15,1070,18.50,853,328,Buffer
8.76,0.30,1230,22.20,984,401,Buffer
13.16,0.10,1400,24.95,1120,455,Buffer
20.29,0.50,1560,27.65,1240,506,Buffer
8.36,0.35,1700,30.90,1350,570,Buffer
20.05,0.45,1850,32.78,1470,607,Buffer
8.36,0.35,2020,36.64,1600,683,Buffer
12.75,0.05,2180,40.45,1730,758,Buffer
23.93,0.33,2350,42.05,1860,789,Buffer
10.23,0.20,2510,43.42,1990,816,Buffer
11.28,0.10,2660,46.17,2110,870,Buffer
22.45,0.20,2810,47.33,2220,893,Buffer
13.16,0.10,2960,49.21,2340,930,Buffer
0.0,0.0,3060,50.08,2420,947,Buffer
25.00,0.44,3270,53.21,2570,1000,Buffer
13.93,0.10,3450,58.88,2700,1110,Buffer
22.98,0.20,3620,61.52,2840,1160,Buffer
10.21,0.20,3750,65.00,2940,1220,Buffer
18.34,0.50,3790,66.42,2970,1240,Buffer
30.22,0.15,4080,68.50,3170,1280,Buffer
25.91,0.15,4250,70.53,3300,1320,Buffer
15.62,0.60,4410,75.53,3420,1410,Buffer
25.38,0.20,4580,78.31,3550,1470,Buffer
